  No    Ref    V       B-V     U-B
 0491   271  11.112   0.311  -0.284
 0491   314  11.103   0.309  -0.371
 0492   271  15.366   1.056   0.748
 0492   314  15.395   1.055   0.636
 0493   271  14.698   0.751   0.410
 0493   314  14.695   0.772   0.296
 0494   314  12.889   0.315  -0.229
 0495   271  13.089   0.346   0.005
 0495   314  13.113   0.329  -0.132
 0496   314  10.047   0.283  -0.400
 0497   271  14.135   1.330   1.319
 0498   314  14.521   0.869   0.282
 0499   271  14.982   0.483   0.435
 0499   314  14.993   0.494   0.280
 0500   271  15.371   0.533   0.397
 0500   314  15.384   0.497   0.314
 0501   271  15.646   0.667   0.482
 0501   314  15.642   0.662   0.320
 0502   271  15.007   0.679   0.495
 0502   314  15.005   0.658   0.374
 0503   271  15.675   0.725   0.481
 0503   314  15.661   0.744   0.320
 0504   271  14.854   0.501   0.391
 0504   314  14.845   0.555   0.233
 0505   271  12.457   0.298  -0.195
 0505   314  12.458   0.336  -0.338
 0506   271  12.787   0.606   0.337
 0506   314  12.816   0.564   0.178
 0507   271  15.608   0.652   0.553
 0507   314  15.593   0.633   0.333
 0508   271  12.021   0.239  -0.335
 0508   314  12.038   0.200  -0.404
 0509   271  12.745   0.722   0.492
 0509   314  12.727   0.683   0.409
 0510   271  13.562   0.400  -0.001
 0510   314  13.564   0.388  -0.085
 0511   271  15.833   0.842   0.432
 0511   314  15.799   0.863   0.317
 0512   271  15.371   0.650   0.459
 0512   314  15.292   0.665   0.353
 0513   271  13.960   0.364   0.154
 0513   314  13.984   0.374  -0.013
 0514   271  15.757   0.702   0.476
 0514   314  15.745   0.695   0.366
 0515   314  12.098   0.329  -0.201
 0516   271  15.294   1.308   1.086
 0517   271  10.096   0.280  -0.356
 0517   314  10.023   0.262  -0.370
 0518   271  15.069   0.511   0.420
 0518   314  15.068   0.531   0.287
 0519   271  14.956   0.556   0.393
 0519   314  14.940   0.555   0.290
 0520   271  14.106   0.824   0.525
 0520   314  14.098   0.894   0.303
 0521   271  13.645   0.355  -0.025
 0521   314  13.586   0.353  -0.064
 0522   271  15.708   0.694   0.488
 0522   314  15.675   0.700   0.411
 0523   271  14.767   0.478   0.330
 0523   314  14.762   0.470   0.222
 0524   271  14.235   0.387   0.138
 0524   314  14.240   0.380   0.086
 0525   271  14.318   0.466   0.219
 0525   314  14.327   0.439   0.179
 0526   271  15.724   0.689   0.528
 0526   314  15.703   0.720   0.400
 0527   271  13.230   0.363  -0.105
 0527   314  13.226   0.352  -0.197
 0528   271  14.544   0.552   0.450
 0528   314  14.555   0.548   0.292
 0529   271  15.332   0.610   0.414
 0529   314  15.327   0.593   0.335
 0530   271  10.249   0.240  -0.389
 0530   314  10.248   0.241  -0.531
 0531   271  14.228   0.795   0.339
 0531   314  14.238   0.825   0.218
 0532   271  13.719   0.388   0.038
 0532   314  13.652   0.399  -0.053
 0533   271  14.815   1.431   1.164
 0534   271  13.005   0.491   0.103
 0534   314  13.020   0.422  -0.021
 0535   271  14.806   0.636   0.427
 0535   314  14.799   0.641   0.289
 0536   271  14.778   0.583   0.364
 0536   314  14.502   0.404  -0.037
 0537   271  14.803   0.643   0.529
 0537   314  14.795   0.657   0.380
 0538   271  11.358   0.291  -0.380
 0538   314  11.355   0.291  -0.470
 0539   271  15.264   0.588   0.422
 0539   314  15.272   0.556   0.319
 0540   271  15.305   0.934   0.409
 0540   314  15.281   0.969   0.284
 0541   271  13.483   0.399  -0.022
 0541   314  13.489   0.383  -0.115
 0542   271  11.389   0.631   0.612
 0542   314  11.434   0.613   0.205
 0543   271  14.909   0.928   0.516
 0543   314  14.912   0.937   0.396
 0544   271  12.433   0.252  -0.185
 0544   314  12.415   0.200  -0.246
 0545   271  15.629   0.771   0.436
 0545   314  15.601   0.761   0.355
 0546   271  15.459   0.563   0.481
 0546   314  15.458   0.604   0.217
 0547   271  12.449   0.314  -0.162
 0547   314  12.477   0.308  -0.301
 0548   271  14.660   0.773   0.468
 0548   314  14.650   0.802   0.384
 0549   271  12.879   0.332  -0.082
 0549   314  12.883   0.299  -0.253
 0550   271  15.119   0.773   0.384
 0550   314  15.116   0.812   0.294
 0551   314  10.559   0.290  -0.436
 0552   271  13.162   0.416  -0.110
 0552   314  13.174   0.336  -0.207
 0553   314  14.379   0.424   0.127
 0554   271  13.978   0.395   0.145
 0554   314  13.992   0.419   0.005
 0555   271  14.275   0.369   0.215
 0555   314  14.280   0.375   0.101
 0556   271  14.232   0.435   0.121
 0556   314  14.210   0.429   0.037
 0557   271  15.620   0.665   0.347
 0557   314  15.644   0.644   0.353
 0558   271  15.062   0.535   0.438
 0558   314  15.065   0.528   0.313
 0559   314  15.571   0.699   0.397
 0560   271  11.953   0.640   0.194
 0560   314  11.940   0.670   0.127
 0561   314  14.489   0.412   0.169
 0562   271  12.381   0.515  -0.220
 0562   314  12.369   0.431  -0.307
 0563   211  12.228   0.296         
 0563   271  12.263   0.321  -0.309
 0563   314  12.238   0.323  -0.390
 0564   271  14.489   0.984   0.830
 0564   314  14.481   1.043   0.765
 0565   271  11.563   0.251  -0.215
 0565   314  11.549   0.264  -0.314
 0566   271   9.683   0.177  -0.505
 0566   314   9.703   0.188  -0.580
 0567   314  14.785   0.550   0.313
 0569   211  15.538   0.574         
 0569   271  15.593   0.651   0.490
 0569   314  15.584   0.627   0.416
 0570   271  15.443   0.785   0.540
 0570   314  15.442   0.825   0.379
 0571   271  14.845   0.517   0.398
 0571   314  14.854   0.486   0.302
 0572   271  10.600   0.272  -0.402
 0572   314  10.579   0.269  -0.484
 0573   271  14.899   0.840   0.391
 0573   314  14.893   0.829   0.283
 0574   271  14.141   0.496   0.116
 0574   314  14.104   0.516   0.026
 0576   271  15.756   0.683   0.470
 0576   314  15.732   0.681   0.380
 0578   271  15.647   0.606   0.307
 0578   314  15.657   0.704   0.190
 0579   211  15.622   0.591         
 0579   271  15.676   0.687   0.464
 0579   314  15.666   0.658   0.383
 0580   271  15.738   0.721   0.444
 0580   314  15.733   0.750   0.299
 0581   271  15.356   0.518   0.235
 0581   314  15.376   0.558   0.344
 0582   271  11.780   0.953   0.469
 0582   314  11.836   0.937   0.299
 0583   271  14.462   1.406   1.240
 0583   314  14.462   1.483   1.065
 0584   211  13.615   0.398         
 0584   271  13.638   0.428   0.180
 0584   314  13.631   0.421   0.079
 0585   211  15.529   0.587         
 0585   271  15.609   0.647   0.472
 0585   314  15.612   0.609   0.399
 0586   271  14.438   0.483   0.352
 0586   314  14.456   0.500   0.173
 0588   271  15.064   0.614   0.379
 0588   314  15.069   0.634   0.309
 0589   211  15.656   0.638         
 0590   314  10.153   0.166  -0.548
 0591   271  14.693   0.535   0.316
 0591   314  14.722   0.525   0.191
 0592   211  16.304   0.738         
 0592   271  16.379   0.838   0.385
 0593   271  13.046   0.261  -0.167
 0593   314  13.057   0.198  -0.200
 0594   271  14.942   0.507   0.407
 0594   314  14.937   0.544   0.249
 0595   271  13.254   0.369   0.139
 0595   314  13.246   0.375   0.070
 0596   271  12.897   0.368  -0.122
 0596   314  12.849   0.358  -0.190
 0597   271  14.095   0.390   0.171
 0597   314  14.088   0.408   0.043
 0598   211  15.235   0.496         
 0598   271  15.291   0.580   0.434
 0598   314  15.277   0.559   0.351
 0599   211  14.392   0.459         
 0599   271  14.471   0.502   0.280
 0599   314  14.453   0.485   0.175
 0600   271  15.655   0.655   0.479
 0600   314  15.641   0.637   0.383
 0601   271  15.873   0.697   0.472
 0601   314  15.837   0.718   0.364
 0602   211  14.135   0.469         
 0602   271  14.175   0.527   0.288
 0602   314  14.167   0.509   0.183
 0603   271  14.643   0.464   0.357
 0603   314  14.658   0.455   0.235
 0604   314   9.129   1.312   1.269
 0605   314  14.412   0.458   0.086
 0606   271  14.106   0.860   0.448
 0606   314  14.129   0.879   0.294
 0607   271  14.177   0.675   0.518
 0607   314  14.191   0.688   0.402
 0608   271  15.489   0.637   0.481
 0608   314  15.478   0.645   0.347
 0609   211  14.406   0.434         
 0609   271  14.484   0.493   0.173
 0609   314  14.466   0.479   0.090
 0610   271  14.836   0.429   0.322
 0610   314  14.856   0.436   0.245
 0611   271  11.848   0.612  -0.383
 0611   314  11.952   0.633   0.009
 0612   271   8.410   0.250  -0.620
 0612   314   8.465   0.273  -0.587
 0613   211  14.455   0.461         
 0613   271  14.488   0.549   0.234
 0613   314  14.487   0.518   0.133
 0614   271  14.098   0.308   0.113
 0614   314  14.090   0.331   0.038
 0615   271  15.235   0.544   0.270
 0615   314  15.289   0.565   0.315
 0616   211  15.788   0.611         
 0616   271  15.840   0.702   0.455
 0616   314  15.818   0.684   0.394
 0617   314  14.255   0.453  -0.031
 0618   271  13.587   0.728   0.286
 0618   314  13.599   0.762   0.177
 0619   271  13.243   0.350  -0.033
 0619   314  13.244   0.316  -0.116
 0620   271  13.076   0.401  -0.059
 0620   314  13.059   0.393  -0.118
 0621   271  15.043   0.529   0.467
 0621   314  15.054   0.558   0.261
 0622   211  10.856   0.213         
 0622   271  10.901   0.233  -0.409
 0622   314  10.898   0.208  -0.465
 0623   211  12.432   0.367         
 0623   271  12.504   0.389  -0.124
 0623   314  12.504   0.381  -0.230
 0624   271  15.126   1.040   0.890
 0624   314  15.049   1.068   0.737
 0625   211  14.383   0.435         
 0625   271  14.422   0.507   0.269
 0625   314  14.406   0.491   0.162
 0626   271  12.759   0.385  -0.098
 0626   314  12.789   0.340  -0.217
 0628   271  14.762   0.884   0.452
 0628   314  14.783   0.932   0.335
 0629   271  14.610   0.478   0.322
 0629   314  14.625   0.461   0.208
 0630   271  15.617   0.674   0.514
 0630   314  15.620   0.713   0.380
 0631   271  15.757   0.823   0.403
 0631   314  15.760   0.836   0.278
 0632   271  14.238   0.565   0.285
 0632   314  14.249   0.579   0.144
 0633   271  14.147   0.410   0.264
 0633   314  14.128   0.466   0.156
 0634   271  13.252   0.379   0.125
 0634   314  13.261   0.379   0.058
 0635   271  11.225   0.420  -0.212
 0635   314  11.271   0.376  -0.342
 0636   271  15.546   0.580   0.369
 0636   314  15.543   0.663   0.217
 0637   271  15.702   0.661   0.497
 0637   314  15.671   0.651   0.392
 0638   271  15.242   0.771   1.046
 0638   314  15.288   0.780   0.271
 0638   314  15.320   0.751   0.272
 0639   271  14.731   0.586   0.418
 0639   314  14.701   0.587   0.310
 0640   271  13.657   0.731   0.288
 0640   314  13.658   0.818   0.141
 0642   271  13.600   0.385   0.045
 0642   314  13.605   0.399  -0.121
 0643   271  14.095   0.628   0.250
 0643   314  14.090   0.634   0.183
 0644   211  15.540   0.802         
 0644   271  15.491   0.866   0.350
 0644   314  15.508   0.872   0.274
 0645   271  14.304   1.361   1.356
 0646   211  14.767   0.469         
 0646   271  14.830   0.521   0.378
 0646   314  14.819   0.521   0.261
 0647   211  12.810   0.386  -0.049
 0647   271  12.877   0.401   0.031
 0647   314  12.863   0.373  -0.034
 0648   211  15.149   0.521   0.205
 0648   271  15.189   0.566   0.387
 0649   211  10.967   0.298  -0.387
 0649   271  11.033   0.289  -0.286
 0649   314  11.017   0.262  -0.352
 0650   211  14.836   0.497         
 0650   271  14.839   0.616   0.475
 0650   314  14.819   0.600   0.354
 0651   271  15.248   0.898   0.491
 0651   314  15.243   0.895   0.375
 0652   314  14.851   0.548   0.254
 0653   271  14.539   0.687   0.432
 0653   314  14.539   0.691   0.319
 0654   271  15.673   0.815   0.474
 0654   314  15.665   0.791   0.335
 0655   271  13.882   0.426   0.087
 0655   314  13.859   0.410         
 0656   271  13.869   0.382   0.057
 0656   314  13.857   0.443  -0.100
 0657   271  13.736   0.361  -0.030
 0657   314  13.748   0.330  -0.093
 0658   271  11.293   0.346  -0.114
 0658   314  11.316   0.316  -0.228
 0659   211  12.987   0.366         
 0659   271  13.051   0.372  -0.095
 0659   314  13.042   0.347  -0.158
 0660   271  13.175   0.668   0.254
 0660   314  13.170   0.716   0.135
 0661   211  13.970   0.775   0.653
 0661   271  14.050   0.895   0.650
 0661   314  14.031   0.902   0.507
 0662   271   8.180   0.300  -0.580
 0662   314   8.301   0.242  -0.577
 0664   314  13.920   0.628   0.160
 0665   314  13.651   0.790   0.233
 0666   271  14.665   0.512   0.303
 0666   314  14.626   0.528   0.198
 0667   271  14.201   1.389   1.004
 0667   314  14.240   1.444   0.931
 0668   314  14.738   0.405   0.171
 0669   271  15.505   0.898   0.387
 0669   314  15.506   0.922   0.270
 0670   271  10.946   0.292  -0.400
 0670   314  10.953   0.283  -0.498
 0671   271  15.213   0.497   0.410
 0671   314  15.206   0.518   0.282
 0672   271  15.327   0.534   0.427
 0672   314  15.342   0.542   0.306
 0673   271  11.898   0.376   0.287
 0673   314  11.903   0.348   0.248
 0674   271  14.881   1.050   0.622
 0674   314  14.920   1.108   0.442
 0675   211  13.089   0.409         
 0675   271  13.112   0.473   0.244
 0675   314  13.094   0.479   0.107
 0676   211  13.819   0.577         
 0676   271  13.914   0.649   0.470
 0676   314  13.900   0.631   0.361
 0677   211  14.538   0.437         
 0677   271  14.647   0.451   0.270
 0677   314  14.635   0.433   0.157
 0678   314  10.395   0.378  -0.410
 0679   271  15.323   0.910   0.405
 0679   314  15.306   0.936   0.364
 0680   271  15.755   0.636   0.441
 0680   314  15.775   0.649   0.348
 0681   271  12.693   0.296  -0.219
 0681   314  12.665   0.328  -0.340
 0682   271  15.578   0.691   0.456
 0682   314  15.579   0.695   0.362
 0683   314  15.886   0.800   0.360
 0684   271  15.578   0.648   0.467
 0684   314  15.574   0.707   0.289
 0685   211  15.584   0.555         
 0685   271  15.640   0.694   0.543
 0685   314  15.637   0.649   0.375
 0686   211  14.653   0.466         
 0686   271  14.752   0.508   0.300
 0686   314  14.738   0.480   0.196
 0687   271  15.615   0.658   0.507
 0687   314  15.568   0.673   0.405
 0688   271  14.576   0.598   0.479
 0689   271  13.210   0.497   0.444
 0689   314  13.218   0.477   0.312
 0690   211  14.329   0.446   0.173
 0690   271  14.390   0.454   0.233
 0690   314  14.378   0.439   0.143
 0691   271  15.792   0.600   0.416
 0691   314  15.806   0.614   0.263
 0692   211   9.354   0.277  -0.636
 0692   271   9.450   0.260  -0.670
 0692   314   9.415   0.224  -0.577
 0693   211  13.470   0.462   0.172
 0693   271  13.542   0.479   0.241
 0693   314  13.536   0.464   0.147
 0694   271  15.229   0.862   0.354
 0694   314  15.273   0.876   0.230
 0695   271  12.271   0.319  -0.208
 0695   314  12.317   0.238  -0.279
 0696   271  14.235   0.516   0.385
 0696   314  14.223   0.554   0.262
 0697   271  15.738   0.661   0.357
 0697   314  15.740   0.672   0.287
 0698   271  15.718   0.661   0.500
 0698   314  15.659   0.656   0.390
 0699   271  15.732   0.824   0.420
 0699   314  15.678   0.833   0.316
 0700   271  13.109   0.422  -0.108
 0700   314  13.102   0.405  -0.229
 0701   211  14.448   0.464   0.211
 0701   271  14.526   0.474   0.273
 0701   314  14.513   0.454   0.174
 0702   271  14.608   0.540   0.281
 0702   314  14.596   0.549   0.159
 0703   211  15.304   0.677         
 0703   271  15.338   0.716   0.477
 0703   314  15.330   0.712   0.351
 0704   271  16.031   0.809   0.456
 0704   314  16.024   0.868   0.306
 0705   271  12.587   0.649   0.387
 0705   314  12.586   0.616   0.316
 0706   271  14.823   0.519   0.389
 0706   314  14.802   0.566   0.247
 0707   271  14.003   0.455   0.122
 0707   314  14.012   0.449  -0.008
 0708   211  14.743   0.477   0.305
 0708   271  14.792   0.526   0.403
 0708   314  14.783   0.500   0.285
 0709   271  14.314   0.462   0.222
 0709   314  14.293   0.469   0.108
 0710   271  13.750   0.791   0.325
 0710   314  13.738   0.825   0.215
 0711   271  14.596   0.450   0.260
 0711   314  14.594   0.468   0.160
 0712   271  14.522   0.659   0.510
 0712   314  14.512   0.672   0.406
 0713   211  13.887   0.391         
 0713   271  13.957   0.407   0.044
 0713   314  13.936   0.379  -0.033
 0714   271  11.996   0.334  -0.218
 0714   314  12.004   0.289  -0.314
 0715   271  14.562   0.443   0.289
 0715   314  14.543   0.433   0.176
 0716   211  13.639   0.437   0.101
 0716   271  13.718   0.451   0.177
 0716   314  13.703   0.419   0.093
 0717   314   9.318   0.241  -0.510
 0718   271  14.874   0.476   0.341
 0718   314  14.852   0.495   0.235
 0719   271  15.716   0.662   0.474
 0719   314  15.700   0.637   0.376
 0720   211  13.703   0.440  -0.012
 0720   271  13.780   0.435   0.060
 0720   314  13.753   0.419  -0.030
 0721   271  13.320   0.673   0.370
 0721   314  13.335   0.651   0.290
 0722   271  16.094   0.800   0.585
 0723   271  14.786   0.904   0.508
 0723   314  14.774   0.956   0.405
 0724   271  14.040   0.614   0.485
 0724   314  14.022   0.608   0.344
 0725   271  11.583   0.354  -0.252
 0725   314  11.610   0.340  -0.361
 0726   314  15.716   0.444   0.230
 0727   271  15.440   0.559   0.401
 0727   314  15.430   0.577   0.321
 0728   211  14.614   0.569   0.362
 0728   271  14.669   0.646   0.480
 0728   314  14.658   0.625   0.367
 0729   271  11.006   0.451  -0.265
 0729   314  10.983   0.432  -0.391
 0730   271  12.585   0.683   0.347
 0730   314  12.597   0.638   0.280
 0731   271  10.804   0.367  -0.255
 0731   314  10.792   0.365  -0.374
 0732   271  14.228   0.812   0.379
 0732   314  14.255   0.821   0.242
 0733   271  14.271   0.742   0.356
 0733   314  14.254   0.775   0.265
 0734   271  13.811   0.393   0.065
 0734   314  13.789   0.397  -0.036
 0735   314  15.861   0.720   0.304
 0736   271  15.451   0.582   0.458
 0736   314  15.414   0.590   0.348
 0737   211  15.328   0.504         
 0737   271  15.393   0.545   0.435
 0737   314  15.379   0.507   0.345
 0738   271  14.835   0.801   0.330
 0738   314  14.884   0.808   0.201
 0739   271  13.981   0.633   0.305
 0739   314  14.006   0.606   0.182
 0740   271  13.985   0.472   0.276
 0740   314  13.915   0.508   0.154
 0741   271  14.862   0.701   0.420
 0741   314  14.848   0.700   0.372
 0742   271  15.886   0.726   0.516
 0742   314  15.871   0.745   0.413
 0743   271  14.594   0.508   0.290
 0743   314  14.580   0.516   0.173
 0744   271  11.891   0.434  -0.262
 0744   314  11.913   0.332  -0.328
 0745   271  15.287   0.549   0.461
 0745   314  15.260   0.561   0.328
 0746   211  12.544   0.347  -0.317
 0746   271  12.616   0.324  -0.215
 0746   314  12.599   0.298  -0.296
 0747   211  15.232   0.506         
 0747   271  15.282   0.586   0.448
 0747   314  15.276   0.535   0.364
 0748   271  10.336   0.212   0.004
 0748   314  10.321   0.201  -0.062
 0749   271  13.708   1.507   1.397
 0750   271  14.343   1.280   0.969
 0750   314  14.344   1.323   0.941
 0752   271  14.678   0.584   0.537
 0752   314  14.690   0.570   0.403
 0753   271  14.609   1.527   1.270
 0754   271  13.445   0.900   0.418
 0754   314  13.428   0.940   0.308
 0755   271  13.596   0.465   0.243
 0755   314  13.600   0.472   0.085
 0756   211  15.539   0.720         
 0756   271  15.592   0.892   0.397
 0756   314  15.575   0.876   0.302
 0757   271  15.564   0.617   0.482
 0757   314  15.537   0.626   0.345
 0758   271  14.930   0.519   0.389
 0758   314  14.919   0.518   0.287
 0759   211  15.152   0.815         
 0759   271  15.192   0.939   0.398
 0759   314  15.172   0.939   0.368
 0760   271  15.718   0.614   0.403
 0760   314  15.711   0.663   0.270
 0761   211  15.524   0.583         
 0761   271  15.566   0.651   0.492
 0761   314  15.549   0.625   0.380
 0762   271  14.295   0.652   0.427
 0762   314  14.309   0.683   0.343
 0763   271  15.598   0.643   0.474
 0763   314  15.586   0.630   0.394
 0764   211  15.725   0.590         
 0764   271  15.701   0.645   0.461
 0764   314  15.684   0.647   0.373
 0765   271  14.136   0.463   0.224
 0765   314  14.145   0.445   0.094
 0766   271  15.486   0.688   0.503
 0766   314  15.462   0.688   0.421
 0767   271  15.533   0.666   0.533
 0767   314  15.508   0.675   0.410
 0768   271  10.725   0.401  -0.218
 0768   314  10.754   0.322  -0.322
 0769   271  10.941   0.262  -0.430
 0769   314  10.927   0.269  -0.531
 0770   271  15.439   0.901   0.420
 0770   314  15.426   0.922   0.258
 0771   271  15.793   0.829   0.303
 0771   314  15.784   0.858   0.229
 0772   271  14.918   0.670   0.509
 0772   314  14.899   0.661   0.398
 0773   271  15.837   0.696   0.479
 0773   314  15.816   0.678   0.365
 0774   271  13.991   0.451   0.160
 0774   314  14.002   0.443   0.032
 0775   271  15.491   0.679   0.473
 0775   314  15.471   0.622   0.404
 0776   271  14.928   1.333   1.097
 0776   314  14.898   1.405   0.992
 0777   271  10.983   0.484  -0.207
 0777   314  11.008   0.433  -0.332
 0778   211  12.021   0.351  -0.296
 0778   271  12.094   0.334  -0.206
 0778   314  12.078   0.322  -0.306
 0779   271  14.758   0.684   0.481
 0779   314  14.733   0.734   0.337
 0780   271  15.407   0.681   0.498
 0780   314  15.394   0.650   0.394
 0781   271  15.362   0.586   0.465
 0781   314  15.320   0.578   0.385
 0782   211   9.433   0.293  -0.543
 0782   271   9.501   0.268  -0.409
 0782   314   9.475   0.272  -0.514
 0783   271  14.218   0.997   0.650
 0783   314  14.212   1.012   0.539
 0784   271  13.550   0.386   0.025
 0784   314  13.545   0.404  -0.112
 0785   211  14.411   0.441   0.220
 0785   271  14.478   0.458   0.270
 0785   314  14.460   0.455   0.147
 0786   271  14.381   0.600   0.203
 0786   314  14.375   0.591   0.074
 0787   271  14.516   1.501   1.206
 0787   314  13.694   1.534   1.338
 0788   211  14.962   0.493   0.350
 0788   271  15.004   0.551   0.488
 0788   314  14.989   0.520   0.267
 0789   271  11.701   0.414  -0.097
 0789   314  11.703   0.372  -0.228
 0790   211  13.083   0.410  -0.052
 0790   271  13.159   0.432   0.026
 0790   314  13.138   0.406  -0.084
 0791   271  15.651   0.820   0.318
 0791   314  15.523   0.804   0.348
 0792   271  13.159   0.824   0.511
 0792   314  13.177   0.829   0.350
 0793   211  14.000   0.411   0.072
 0793   271  14.056   0.444   0.166
 0793   314  14.040   0.398   0.083
 0794   271  15.864   0.693   0.408
 0794   314  15.849   0.726   0.373
 0795   271  14.941   0.636   0.374
 0795   314  14.920   0.630   0.270
 0796   271  14.650   0.936   0.434
 0796   314  14.663   0.918   0.303
 0797   211  15.493   0.552         
 0797   271  15.536   0.661   0.469
 0797   314  15.541   0.590   0.391
 0798   271  14.683   0.793   0.382
 0798   314  14.661   0.821   0.235
 0799   271  14.083   0.448   0.100
 0799   314  14.077   0.455  -0.027
 0800   211  12.245   0.334         
 0800   271  12.285   0.362  -0.201
 0800   314  12.286   0.321  -0.278
 0801   211  12.795   0.362  -0.186
 0801   271  12.876   0.352  -0.104
 0801   314  12.839   0.357  -0.219
 0802   271  14.059   0.473   0.182
 0802   314  14.047   0.458   0.089
 0803   271  10.527   0.321  -0.388
 0803   314  10.602   0.321  -0.516
 0804   211  13.375   0.424  -0.118
 0804   271  13.435   0.430  -0.003
 0804   314  13.425   0.399  -0.093
 0805   211  14.962   0.486   0.314
 0805   271  15.020   0.566   0.389
 0805   314  15.001   0.535   0.306
 0806   271  15.492   0.929   0.414
 0806   314  15.471   0.940   0.312
 0807   211  13.805   0.397   0.068
 0807   271  13.878   0.408   0.136
 0807   314  13.838   0.396   0.038
 0808   211  15.457   0.690         
 0808   271  15.510   0.828   0.487
 0808   314  15.490   0.800   0.352
 0809   211  15.641   0.582         
 0809   271  15.694   0.680   0.477
 0809   314  15.679   0.650   0.412
 0810   271  14.365   0.549   0.200
 0810   314  14.342   0.541   0.071
 0811   314  15.508   0.629   0.385
 0812   211  13.821   0.422   0.169
 0812   271  13.896   0.434   0.206
 0812   314  13.841   0.434   0.115
 0813   271  14.404   0.513   0.277
 0813   314  14.405   0.521   0.123
 0814   271  15.100   0.586   0.445
 0814   314  15.085   0.611   0.338
 0815   314  14.568   0.487   0.118
 0816   271  15.052   1.395   1.004
 0817   271  12.708   0.385  -0.056
 0817   314  12.695   0.333  -0.127
 0818   271  14.748   0.477   0.304
 0818   314  14.714   0.474   0.244
 0819   271  14.914   0.659   0.345
 0819   314  14.905   0.625   0.243
 0820   211  13.151   0.375  -0.132
 0820   271  13.230   0.378  -0.067
 0820   314  13.189   0.359  -0.137
 0821   211  15.450   0.611         
 0821   271  15.491   0.707   0.476
 0821   314  15.452   0.697   0.422
 0822   314  15.656   0.666   0.308
 0823   271  15.993   0.742   0.521
 0823   314  15.965   0.766   0.428
 0824   271  14.304   0.855   0.385
 0824   314  14.279   0.900   0.250
 0825   271  15.192   0.588   0.437
 0825   314  15.161   0.556   0.354
 0826   271  14.590   0.604   0.253
 0826   314  14.612   0.564   0.166
 0827   271  15.918   0.534   0.321
 0827   314  15.835   0.519   0.186
 0828   271  14.055   1.113   0.979
 0828   314  14.049   1.155   0.958
 0830   271  13.511   0.442   0.033
 0830   314  13.518   0.419  -0.074
 0832   211  14.219   0.416   0.150
 0832   271  14.293   0.426   0.229
 0832   314  14.254   0.422   0.104
 0833   271  15.580   0.647   0.515
 0833   314  15.568   0.647   0.408
 0834   271  10.892   0.313  -0.297
 0834   314  10.869   0.282  -0.404
 0835   271  13.517   0.331  -0.021
 0835   314  13.475   0.352  -0.133
 0836   211  15.766   0.587         
 0836   271  15.820   0.676   0.525
 0836   314  15.790   0.651   0.361
 0837   211  14.078   0.505   0.167
 0837   271  14.145   0.530   0.238
 0837   314  14.114   0.514   0.125
 0838   271  12.605   0.432  -0.047
 0838   314  12.623   0.385  -0.162
 0839   314   9.385   0.363  -0.490
 0840   271  15.292   0.555   0.390
 0840   314  15.244   0.549   0.322
 0841   271  13.244   0.472  -0.073
 0841   314  13.225   0.473  -0.180
 0842   211  13.160   0.371  -0.150
 0842   271  13.231   0.382  -0.086
 0842   314  13.183   0.381  -0.206
 0843   211   9.294   0.310  -0.513
 0843   271   9.320   0.310  -0.530
 0843   314   9.345   0.288  -0.480
 0844   271  15.625   0.683   0.505
 0844   314  15.549   0.631   0.362
 0845   271  14.812   0.505   0.334
 0845   314  14.777   0.485   0.202
 0846   314  10.128   0.351  -0.461
 0847   271   9.110   0.380  -0.520
 0847   314   9.127   0.385  -0.505
 0848   211  16.452   0.692         
 0848   271  16.544   0.882   0.504
 0849   271  13.233   0.339  -0.056
 0849   314  13.214   0.287  -0.122
 0850   271  13.792   0.847   0.394
 0850   314  13.794   0.844   0.253
 0851   271  10.961   0.711   0.362
 0851   314  10.974   0.701   0.209
 0852   271  14.860   0.586   0.329
 0852   314  14.840   0.569   0.223
 0854   211  14.240   0.481   0.308
 0854   271  14.307   0.529   0.390
 0854   314  14.280   0.501   0.281
 0855   271  14.901   0.704   0.445
 0855   314  14.860   0.683   0.352
 0856   211  15.573   0.563         
 0856   271  15.582   0.669   0.509
 0856   314  15.590   0.602   0.302
 0857   211  14.857   0.470   0.321
 0857   271  14.910   0.572   0.451
 0857   314  14.614   0.805   0.185
 0858   271  15.344   0.626   0.503
 0858   314  15.341   0.641   0.326
 0859   211  10.728   0.352  -0.391
 0859   271  10.816   0.333  -0.283
 0859   314  10.785   0.337  -0.379
 0860   271  11.256   0.583   0.184
 0860   314  11.251   0.573   0.049
 0861   271  13.427   0.423  -0.060
 0861   314  13.442   0.389  -0.147
 0862   271  13.494   0.396   0.039
 0862   314  13.466   0.382  -0.046
 0863   271  14.119   0.843   0.546
 0863   314  14.114   0.850   0.419
 0864   211   9.943   0.322  -0.502
 0864   271  10.000   0.295  -0.355
 0864   314   9.972   0.308  -0.458
 0865   271  13.332   1.104   1.186
 0865   314  13.332   1.093   1.075
 0866   271  15.025   0.702   0.465
 0866   314  14.998   0.733   0.306
 0867   271  10.642   0.601   0.223
 0867   314  10.626   0.599   0.099
 0868   271  15.533   0.707   0.557
 0868   314  15.518   0.695   0.432
 0869   211  12.002   0.362  -0.235
 0869   271  12.078   0.361  -0.135
 0869   314  12.080   0.301  -0.216
 0870   271  14.433   0.565   0.404
 0870   314  14.418   0.579   0.326
