  No    Ref    V       B-V     U-B
 0162   314  15.301   0.897   0.228
 0163   271  12.828   0.311  -0.129
 0163   314  12.899   0.226  -0.256
 0164   271  11.679   0.290  -0.211
 0164   314  11.690   0.289  -0.346
 0165   271  15.154   0.490   0.337
 0165   314  15.253   0.508   0.271
 0166   271  14.695   0.737   0.220
 0166   314  14.743   0.755   0.132
 0167   271  14.400   1.295   1.037
 0167   314  14.403   1.404   0.990
 0168   271  11.213   1.153   1.014
 0168   314  11.249   1.158   0.936
 0170   271  14.478   0.398   0.193
 0170   314  14.470   0.412   0.119
 0171   271  14.997   0.503   0.333
 0171   314  14.991   0.549   0.231
 0172   271  14.065   0.522   0.314
 0172   314  14.068   0.523   0.234
 0173   271  15.829   0.801   0.264
 0173   314  15.822   0.833   0.248
 0174   271  11.497   0.723   0.357
 0174   314  11.540   0.725   0.204
 0175   271  15.217   0.780   0.347
 0175   314  15.217   0.820   0.276
 0176   271  13.479   0.728   0.278
 0176   314  13.499   0.760   0.166
 0177   271  16.149   0.505   0.366
 0177   314  16.203   0.505   0.331
 0178   271  14.681   0.676   0.569
 0178   314  14.565   0.783   0.327
 0180   314  11.815   1.132   0.625
 0181   271  15.273   0.563   0.416
 0181   314  15.267   0.615   0.314
 0182   314  15.248   0.750   0.185
 0183   271  14.737   0.484   0.280
 0183   314  14.806   0.451   0.249
 0184   271  13.038   0.306  -0.205
 0184   314  13.079   0.314  -0.303
 0185   271  16.058   0.753   0.373
 0185   314  16.057   0.757   0.333
 0186   271  15.336   0.835   0.427
 0186   314  15.341   0.875   0.336
 0187   271  13.884   0.422   0.259
 0187   314  13.943   0.422   0.229
 0188   314  14.448   0.982   0.558
 0189   271  15.484   0.584   0.383
 0189   314  15.527   0.611   0.292
 0190   271  12.132   0.286  -0.356
 0190   314  12.141   0.255  -0.458
 0191   314  15.983   0.757   0.248
 0192   271  15.061   0.547   0.449
 0192   314  15.098   0.516   0.336
 0193   271  13.132   0.353  -0.040
 0193   314  13.126   0.361  -0.105
 0194   271  13.175   0.342  -0.052
 0194   314  13.184   0.326  -0.137
 0195   271  13.577   0.361  -0.055
 0195   314  13.604   0.354  -0.141
 0196   271  11.531   1.136   0.818
 0196   314  11.560   1.195   0.693
 0197   314   8.199   0.058   0.007
 0198   271  15.564   0.638   0.461
 0198   314  15.572   0.708   0.314
 0199   271  14.013   0.483   0.221
 0199   314  14.011   0.467   0.151
 0200   271  15.476   0.840   0.345
 0200   314  15.480   0.897   0.261
 0201   271  14.801   0.789   0.319
 0201   314  14.806   0.821   0.176
 0203   271  13.287   0.341  -0.066
 0203   314  13.288   0.328  -0.146
 0204   271  14.088   0.490   0.301
 0204   314  14.089   0.485   0.273
 0205   271  13.952   0.991   0.425
 0205   314  13.943   1.029   0.309
 0206   271  15.597   0.595  -0.814
 0207   271  15.301   0.659   0.420
 0207   314  15.307   0.682   0.337
 0208   271  15.386   0.871   0.395
 0208   314  15.381   0.906   0.310
 0209   271  15.095   0.832   0.426
 0209   314  15.118   0.848   0.354
 0210   271  13.547   0.863   0.508
 0210   314  13.554   0.925   0.364
 0211   271  14.902   0.433   0.257
 0211   314  14.948   0.414   0.208
 0212   314  15.773   0.600   0.305
 0213   271  15.146   0.538   0.374
 0213   314  15.127   0.571   0.283
 0214   271  12.346   0.418   0.377
 0214   314  12.321   0.385   0.318
 0215   271  14.755   0.745   0.229
 0215   314  14.762   0.794   0.108
 0216   271  15.809   0.649   0.338
 0216   314  15.814   0.649   0.319
 0217   271  15.045   0.501   0.323
 0217   314  15.030   0.506   0.283
 0218   271  15.927   0.677   0.395
 0218   314  15.932   0.748   0.231
 0219   271  15.632   0.793   0.443
 0219   314  15.638   0.834   0.320
 0220   271  13.022   0.346  -0.123
 0220   314  13.041   0.389  -0.256
 0221   314  14.937   0.456   0.256
 0222   271  14.996   0.527   0.351
 0222   314  14.994   0.530   0.288
 0223   271  14.770   0.646   0.432
 0223   314  14.773   0.665   0.352
 0224   271  15.430   0.603   0.406
 0224   314  15.416   0.581   0.375
 0225   271  15.257   0.853   0.370
 0225   314  15.264   0.897   0.264
 0226   271  14.046   0.550   0.285
 0226   314  14.028   0.570   0.206
 0227   271  13.157   0.429   0.002
 0227   314  13.147   0.400  -0.095
 0228   271  13.552   0.687   0.225
 0228   314  13.541   0.707   0.112
 0229   271  11.246   0.267   0.181
 0229   314  11.267   0.213   0.150
 0231   271  13.692   0.504   0.239
 0231   314  13.719   0.529   0.094
 0232   271  14.536   0.898   0.560
 0232   314  14.585   0.949   0.421
 0233   271  15.810   0.656   0.513
 0233   314  15.844   0.659   0.417
 0234   271  14.677   1.554   1.536
 0235   271  14.745   0.465   0.250
 0235   314  14.786   0.447   0.212
 0236   271  14.189   1.306   1.052
 0236   314  14.210   1.442   0.957
 0237   271  12.313   0.283  -0.229
 0237   314  12.343   0.237  -0.319
 0238   271  15.995   0.529   0.360
 0238   314  16.057   0.533   0.337
 0239   271  15.578   0.723   0.267
 0239   314  15.571   0.784   0.146
 0240   271  15.521   0.872   0.482
 0240   314  15.559   0.922   0.371
 0241   271  13.438   0.324  -0.084
 0241   314  13.479   0.326  -0.146
 0242   271  12.406   0.289  -0.245
 0242   314  12.415   0.248  -0.322
 0243   271  15.466   0.684   0.463
 0243   314  15.462   0.700   0.382
 0244   314  14.838   1.020   0.404
